pdf_filename,procedure_description,typical_duration,anesthesia_type,hospital_stay,recovery_timeline,risks_mentioned,category,procedure,confidence
[72%] Blepharoplasty-postop.pdf,UMHS Plastic Surgery (734) 998-6022 - 1 - Blepharoplasty (Eyelid Surgery) Post -Operative Instructions What are my post -operative instructions?  Have someone drive you home after surgery and help you at home for 1 -2 days,,,,,"['bleeding', 'infection', 'blood clot']",Ophthalmology,Blepharoplasty,0.72
[51%] POST-OP-FACELIFT.pdf,"Date: 12221 Merit Dr Suite 1060 Chart: Dallas, TX 75251 972-960-2950 Name: AMBULATORY SURGERY POST-OPERATIVE INSTRUCTIONS FACELIFT/NECKLIFT Please follow these instructions carefully",,,,,[],Ophthalmology,Facelift,0.51
[66%] gtg-46.pdf,[ New 2015 ] Surgical management What are the indications for surgery? Surgical treatment should be offered to women with symptomatic PHVP after appropriate counselling,,,,,"['bleeding', 'complications']",Urology,Urology,0.66
[56%] post-operative-instructions-varicose-vein-surgery.pdf,"DR VIKRAM PUTTASWAMY Vascular and Endovascular Surgeon FRACS (Vascular) FRACS (General) Provider # 201797CH Suite 2, Level 5 North Shore Private Hospital Westbourne Street Telephone: (02) 9439 8715 ST LEONARDS NSW 2065 Facsimile: (02) 9439 8500 _____________________________________________________________________________________________________ Post Operative Instructions for Varicose Vein Surgery Wound Care : If you have a wound in your groin, it will be c overed by a dressing when you are disc",,,,,[],Vascular Surgery,Vascular Surgery,0.56
[56%] 40003rB-UltraGuideTFR-Instructions-for-Use.pdf,"Possible Complications: Operators should be familiar with the comp lications of trigger finger release using Ultra Guide TFR, including but not limited to: o Procedure related discomfort",,Local,,,"['infection', 'scarring', 'complications']",Vascular Surgery,Vascular Surgery,0.56
[96%] 340-CarotidEndarterectomyBooklet.pdf,Preparing for your Carotid Endarterectomy Surgery Michigan Medicine Frankel Cardiovascular Center Frankel Cardiovascular Center Preparing for your Carotid Endarterectomy Surgery -2- Michigan Medicine Phone Numbers Billing ………………………………………………………………………… 855 -855-0863 734-615-0863 Call Center ……………………………………………………………………888 -287-1082 Vascular Surgery (use Call Center) ………………………………………888 -287-1082 Cardiovascular Operating Room Desk …………………………………734 -232-4553 Office of Clinical Safety (comments) …………………,,,,,"['bleeding', 'infection', 'complications']",Vascular Surgery,Vascular Surgery,0.96
[70%] POSTOPERATIVE-ENDOVASCULAR-ANEURYSM-REPAIR-INSTRUCTIONS.pdf,"Do not eat or drink anything, as you may need to go to the hospital for surgery",,,,,['bleeding'],Vascular Surgery,Vascular Surgery,0.7
[88%] Recovery_Guide_English_Updated_RV3.pdf,org ©IUGA RV3 Recovery Guide After Vaginal Repair Surgery/ Vaginal Hysterectomy A Guide for Women 1,,,,,"['bleeding', 'infection', 'blood clot', 'complications']",Vascular Surgery,Vascular Surgery,0.88
[56%] post-operative-instructions-varicose-vein-surgery.pdf,"DR VIKRAM PUTTASWAMY Vascular and Endovascular Surgeon FRACS (Vascular) FRACS (General) Provider # 201797CH Suite 2, Level 5 North Shore Private Hospital Westbourne Street Telephone: (02) 9439 8715 ST LEONARDS NSW 2065 Facsimile: (02) 9439 8500 _____________________________________________________________________________________________________ Post Operative Instructions for Varicose Vein Surgery Wound Care : If you have a wound in your groin, it will be c overed by a dressing when you are disc",,,,,[],Vascular Surgery,Varicose Veins,0.56
[70%] POSTOPERATIVE-ENDOVASCULAR-ANEURYSM-REPAIR-INSTRUCTIONS.pdf,"Do not eat or drink anything, as you may need to go to the hospital for surgery",,,,,['bleeding'],Vascular Surgery,Aneurysm Repair,0.7
[96%] 340-CarotidEndarterectomyBooklet.pdf,Preparing for your Carotid Endarterectomy Surgery Michigan Medicine Frankel Cardiovascular Center Frankel Cardiovascular Center Preparing for your Carotid Endarterectomy Surgery -2- Michigan Medicine Phone Numbers Billing ………………………………………………………………………… 855 -855-0863 734-615-0863 Call Center ……………………………………………………………………888 -287-1082 Vascular Surgery (use Call Center) ………………………………………888 -287-1082 Cardiovascular Operating Room Desk …………………………………734 -232-4553 Office of Clinical Safety (comments) …………………,,,,,"['bleeding', 'infection', 'complications']",Vascular Surgery,Carotid Endarterectomy,0.96
[92%] pr-44461-my-leg-bypass-surgery-guide-acc.pdf,My Leg Bypass Surgery Including Preparation and After-Surgery Care Date of Surgery: My Surgeon: Estimated Date of Discharge: Table of Contents Timeline 2 Introduction 5 How to Use this Guide,,,,,[],Vascular Surgery,Bypass Surgery,0.92
